t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
36952013,-0.488417,-0.363919,10.204087,-0.245836,0.031927,0.670462,49.050,15.450,107.700,25.22,22.97,97167.67,352.022,9.576807,7.661446,8.619126
36980932,-0.181959,-0.751779,10.280702,-0.224552,0.319268,0.649177,49.650,15.150,109.650,25.27,22.97,97167.75,352.015,6.703765,0.957681,16.280571
37009954,-0.090980,-0.780510,9.883265,-0.078753,0.492736,0.602351,49.500,15.750,108.450,25.27,22.98,97168.82,351.923,11.492168,3.830723,14.365211
37038933,-0.723049,-0.814029,9.466674,-0.051083,0.500186,0.560847,50.400,15.150,106.800,25.31,22.98,97168.38,351.961,13.407530,3.830723,16.280571
37071359,-1.130063,-0.612916,8.724471,-0.125579,0.420369,0.493800,51.150,15.150,107.850,25.31,22.98,97167.88,352.004,10.534488,0.957681,12.449849
37104359,-1.359907,-0.445322,8.518570,-0.295855,0.133028,0.527856,50.400,16.800,107.100,25.31,22.99,97167.29,352.055,14.365211,2.873042,5.746084
37138359,-1.163582,-0.679953,8.566454,-0.396956,-0.134092,0.631086,52.050,16.200,105.150,25.27,22.99,97167.74,352.016,10.534488,4.788404,13.407530
37171359,-1.637634,0.718261,8.001422,-0.303304,-0.474644,0.684297,50.400,15.900,107.850,25.31,22.99,97167.55,352.033,8.619126,-7.661446,8.619126
37204359,-1.561020,1.206678,9.394848,-0.005321,-0.793912,0.744958,51.000,16.950,106.200,24.98,22.99,97167.55,352.033,11.492168,-0.957681,9.576807
37238359,-2.312799,2.595315,10.649409,0.114936,-0.637471,0.535305,48.900,17.100,107.550,25.31,22.99,97167.93,352.000,14.365211,-3.830723,13.407530
37271359,-3.289633,3.936068,10.644621,0.051083,-0.020220,0.473580,48.600,18.300,108.150,25.27,22.99,97168.52,351.949,11.492168,-1.915361,14.365211
37304359,-3.308787,3.088520,9.844957,-0.404406,0.227744,0.328846,49.800,19.200,106.950,24.93,22.99,97168.41,351.958,7.661446,-0.957681,13.407530
37338359,-1.312023,1.130063,10.237606,-0.820518,-0.199010,0.437397,50.250,17.700,108.450,25.46,22.98,97168.00,351.994,10.534488,5.746084,15.322891
37371359,-0.268151,-0.847547,11.726800,-0.588517,-0.464002,0.443782,50.550,16.950,108.000,25.41,22.98,97167.30,352.054,10.534488,2.873042,16.280571
37404359,-0.210690,-0.770933,10.319010,0.024477,0.078753,0.586388,49.050,16.950,107.700,25.27,22.98,97167.77,352.014,7.661446,5.746084,11.492168
37438359,-0.804452,0.114922,8.317456,0.369286,-0.026606,0.703453,49.050,18.900,108.000,25.22,22.98,97168.25,351.972,10.534488,3.830723,16.280571
37471359,-0.588974,0.378284,9.528923,0.356515,-0.369286,0.733251,49.050,19.650,106.950,25.46,22.98,97168.03,351.991,5.746084,7.661446,13.407530
37504359,-1.058237,1.498770,11.358093,0.308625,0.103230,0.623636,49.800,20.700,106.200,24.88,22.98,97167.80,352.010,9.576807,0.957681,18.195932
37538359,-1.896208,1.584962,8.757990,0.090459,0.415048,0.368222,48.750,21.150,106.950,25.22,22.98,97167.79,352.012,8.619126,0.957681,14.365211
37571359,-1.709460,1.144428,8.858546,-0.187304,0.124514,0.267121,49.800,23.100,106.950,25.12,22.98,97167.38,352.047,8.619126,-1.915361,13.407530
37604359,-0.809240,0.234632,9.160215,-0.424626,-0.284148,0.363965,50.250,21.450,106.650,25.46,22.98,97168.22,351.975,7.661446,-0.957681,12.449849
37652621,-0.143652,-0.474052,10.697293,-0.208588,-0.091523,0.443782,49.500,21.450,106.200,25.22,22.98,97168.62,351.941,2.873042,2.873042,9.576807
37676164,0.071826,-1.019930,10.548853,-0.043633,0.131964,0.452296,49.950,21.750,107.100,25.27,22.97,97167.66,352.023,12.449849,6.703765,20.111294
37705941,-0.435745,-0.799663,9.581595,0.156441,0.318203,0.517213,50.250,22.200,105.150,25.27,22.97,97167.78,352.013,11.492168,0.000000,16.280571
37738359,-0.579397,-1.149217,8.226477,0.275634,-0.054275,0.680040,48.900,22.050,107.850,25.12,22.97,97167.33,352.052,8.619126,-0.957681,7.661446
37771359,-0.512359,-1.388637,8.939949,0.362901,-0.287341,0.760921,49.950,23.550,106.050,25.27,22.97,97167.39,352.046,10.534488,3.830723,15.322891
37804359,-0.387861,-1.470040,9.758766,0.396956,-0.386314,0.807747,48.300,24.600,107.250,25.41,22.97,97167.46,352.040,2.873042,6.703765,13.407530
37838359,-0.100556,-1.551443,10.232818,0.299047,-0.340552,0.772627,47.700,26.100,107.700,25.12,22.97,97167.84,352.008,7.661446,4.788404,14.365211
37870819,-0.033519,-1.034295,10.591949,0.188368,-0.170276,0.752407,48.150,26.250,106.050,25.46,22.97,97168.79,351.926,7.661446,4.788404,19.153614
37904359,-0.234632,-0.450110,10.390836,0.065982,-0.021285,0.744958,47.850,27.000,107.550,25.07,22.98,97167.89,352.003,9.576807,7.661446,15.322891
37938359,-0.651223,0.052672,9.911995,-0.064918,-0.002128,0.803490,48.150,27.450,107.850,24.93,22.97,97167.89,352.003,10.534488,-1.915361,15.322891
37971359,-0.785298,0.368707,9.361329,-0.092588,-0.178790,0.846059,47.100,27.750,106.350,25.27,22.97,97168.08,351.987,8.619126,3.830723,17.238253
38004359,-0.201113,-0.234632,9.830592,-0.070239,-0.315011,0.848187,47.400,27.750,107.100,25.22,22.97,97167.90,352.003,11.492168,0.957681,13.407530
38038359,-0.574608,0.737414,10.457873,0.042569,-0.243708,0.757728,45.750,29.550,108.000,25.27,22.97,97167.13,352.069,12.449849,2.873042,6.703765
38071359,-0.541090,0.905008,9.643845,0.241579,-0.096844,0.650242,45.300,30.900,108.600,25.12,22.97,97167.35,352.049,10.534488,-0.957681,12.449849
38104359,-0.421380,1.838747,9.002198,0.323524,-0.113872,0.580003,46.050,30.150,107.550,25.22,22.97,97167.30,352.054,11.492168,6.703765,13.407530
38138359,0.028730,2.566584,9.629479,0.119193,-0.194753,0.586388,43.950,31.800,107.250,25.22,22.97,97167.73,352.017,8.619126,-0.957681,12.449849
38171359,0.354342,2.724602,10.007763,-0.085138,-0.199010,0.499122,43.500,32.850,108.600,25.22,22.97,97168.02,351.992,3.830723,-3.830723,5.746084
38204359,0.598550,2.839523,10.912771,-0.334167,0.183047,0.328846,45.750,33.000,107.250,25.31,22.97,97168.78,351.927,1.915361,2.873042,15.322891
38238359,0.469264,2.054225,8.949526,-0.406534,0.296919,0.224552,44.700,32.250,108.000,25.12,22.97,97168.70,351.933,8.619126,-1.915361,11.492168
